"Horodatage","Geschlecht","Alter","Ausbildung","Deutsch...5","Hunde, die bellen, beißen nicht.","Eine Krähe hackt der andern kein Auge aus.","Die Katze lässt das Mausen nicht.","Geduld bringt Rosen.","Es fällt keine Eiche vom ersten Streiche.","Ein fauler Apfel steckt hundert an.","Schwein haben","jemandem einen Esel bohren","ein alter Hase sein","jemanden auf die Palme bringen","für jemanden die Kastanien aus dem Feuer holen","etwas durch die Blume sagen","1.     Eine Schwalbe macht noch ...","2.  Den Eseln, die das Korn zur Mühle tragen,  ...","3. Der Katzen Scherz ist …","4. Ein rollender Stein setzt ...","5. Unter Dornen wachsen ...","6. Wer das Laub fürchtet, bleibe ...","7. jemanden auf den Hund ...","8. arm sein wie eine ...","9. aus einer Mücke einen …","10. jemandem Rosen auf den Weg ...","11.  die Lorbeeren ...","12.  in die Binsen ...","Nennen Sie die zwei Phraseologismen (hier Sprichwörter und/oder sprichwörtliche Redensarten) mit Tier- und/oder Pflanzennamen, die Sie am häufigsten verwenden bzw. hören.","Nennen Sie die drei Sprichwörter mit Tier- und/oder Pflanzennamen, die Sie am häufigsten verwenden bzw. hören.","Geben Sie die drei sprichwörtlichen Redensarten mit Tier- und/oder Pflanzennamen, die Sie am häufigsten verwenden bzw. hören.","1.  Wer Gerste säen will, muss es den Hühnern nicht erzählen.","2. Einem geschenkten Gaul sieht man nicht ins Maul.","3. Eine schöne Blume steht nicht lange am Wege.","4. Keine Rose ohne Dornen.","5. Eulen nach Athen tragen","4. Perlen vor die Säue streuen","5. im Gerstenfeld mit seinen Gedanken sein","...40","6. bekannt sein wie ein gescheckter Hund","10. schlafen wie Dachs","1. Wer eine Elster ausschickt, dem kommt ein bunter Vogel wieder.","2. Lieber den Spatz in der Hand als eine Taube auf dem Dach.","3. Ein Esel schimpft den anderen Langohr.","4.  Ein fauler Apfel steckt hundert an.","5.  in den Nesseln sitzen","6.  jemanden hinter die Fichte führen","Deutsch...49","...50","Frage 1: 
Nennen Sie die zwei Phraseologismen mit Tier- und/oder Pflanzennamen, die Sie am häufigsten verwenden bzw. hören.","Bitte notieren Sie hier Ihre E-Mail-Adresse, wenn Sie an den Ergebnissen der Befragung interessiert sind.","Wie gut kennen Sie die folgenden Sprichwörter und sprichwörtlichen Redensarten?","...54","6.  jmdn. hinter die Fichte führen","7","...57"
2024-03-01 07:03:21,"weiblich","35-44 Jahre","Bachelor-Abschluss","Muttersprache","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer","-","-","-","Rosen","zuhause","bringen","Maus","Elefanten machen","streuen","ernten","gehen",NA,NA,NA,"Derjenige, der will, dass sein Plan gelingt, soll es nicht überall erzählen.","Es löhnt sich nicht, den Mangel eines Geschenks zu überprüfen.","Ein gutes Ding dauert an keinem öffentlichen Ort an.","Man hat kein wichtiges Ding, ohne ernsthaft zu leiden.","-","-","auf eine Sache nicht gut aufpassen",NA,"bekannt sein","tief schlafen",NA,"keine Variante",NA,"keine Variante","keine Variante","jemanden hinter die Fichte führen",NA,NA,"Wenn der Löwe brüllt, zittert der Wald. / Die Maus kommt in kein leeres Haus.",NA,NA,NA,NA,NA,NA
2023-10-27 09:10:03,"weiblich","65 und älter","Berufsausbildung","Muttersprache","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","Frühling","gebührt Achtung",NA,NA,"Rosen","zuhause","bringen","Kirchenmaus","Elefanten machen","Streuen","ernten","gehen",NA,NA,NA,"Hühner picken alles weg","Ein Geschenk soll nicht bewertet werden","Da widersteht keiners",NA,NA,"Schade um kostbares Gut, das nicht am rechten Ort landet","Da antwortet niemand",NA,"Ein auffälliges Merkmal aufweisen",NA,"Wer eine Elster ausschickt, dem kommt kein bunter Vogel zurück","Lieber den Spatz in der Hand und die Taube freigeben","Ein Esel ist nicht besser als der andere","Ein fauler Apfel steckt andere an","In der Patsche hocken","Jemanden hinters Licht führen",NA,NA,"Ich habe einen Bärenhunger/ 
Der Hund läßt das Bellen nicht. 
",NA,NA,NA,NA,NA,NA
2023-07-17 20:20:39,"weiblich","25-34 Jahre","Master-Abschluss","Muttersprache","sehr gut bekannt","unbekannt","nicht gut bekannt","unbekannt","unbekannt","unbekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt",NA,NA,NA,NA,"Die schönsten rosen",NA,"Bringen","Kirchenmaus","Elefanten machen","Legen","Ernten","Bringen",NA,NA,NA,"Unbeteiligte nichit in Kenntnis setzen müssen von einem vorhaben","Geschenke nicht hinterfragen","Was schön ist, wird geklaut?",NA,NA,"Etwas verschwenden an jemanden, den es nicht schätzt","Kenn ich nicht",NA,"Ich kenne: wie ein bunter hund.",NA,NA,"Kenn nur das","Kenn ich nicht",NA,"A",NA,NA,NA,"Einen Bären aufbinden, die Katze aus dem Sack lassen",NA,NA,NA,NA,NA,NA
2023-07-18 17:25:48,"männlich","45-54 Jahre","Promotion","Muttersprache","sehr gut bekannt","unbekannt","gut bekannt","unbekannt","unbekannt","unbekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer",NA,NA,NA,NA,NA,"kommen","Kirchenmaus","Elefanten machen","legen",NA,NA,NA,NA,NA,"[unbekannt]
Vielleicht: nicht zu viel von seinen Plänen bekannt geben","Wenn man etwas geschenkt kriegt, soll man sich nicht über das Geschenk oder dessen Qualität beschweren (sondern es so annehmen, wie es ist)","[unbekannt]
Vielleicht: Etwas Schönes wird immer bemerkt",NA,NA,"Etwas (Wertvolles) verschwenden","[unbekannt]",NA,"sehr bekannt sein, weil sehr auffallend und aussergewöhnlich",NA,"[unbekannt]","Lieber einen Spatz in der Hand als eine Taube auf dem Dach.","[unbekannt]","[unbekannt]","sich in die Nesseln setzen","[unbekannt]",NA,NA,"jemandem einen Bären aufbinden
durch die Blume sagen",NA,NA,NA,NA,NA,NA
2024-03-24 13:32:05,"weiblich","18-24 Jahre","Master-Abschluss","Muttersprache","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Frühling","unbekannt","der Mäuse Tod","keine Ahnung","Rosen","aus dem Walde","bringen","Kirchenmaus","Elefanten machen","streuen","ich weiss nicht","gehen",NA,NA,NA,"Ein geschickter Mensch muss verschwiegen sein","Ein Geschenktes darf man nicht kritisieren.","-","-","-","eine nette Aktion bzw. Geste nicht angemessen schätzen.","bei etwas mit dem Geist nicht anwesend sein",NA,"sehr bekannt sein","fest schlafen","Ich kenne dazu keine Variante","idem","Ein Esel schmpft den anderen Sackträger.","keine andere Form","idem","keine Variante",NA,NA,"Der Teufel ist ein Eichhörnchen. / Auch ein blindes Huhn findet mal  ein Korn.",NA,NA,NA,NA,NA,NA
2024-02-09 21:30:12,"männlich","55-64 Jahre","Berufsausbildung","Muttersprache","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer","keine Ahnung","der Mäuse Tod","kein Moos an","Rosen","aus dem Walde","bringen","Kirchenmaus","Elefanten machen","werfen","ernten","-",NA,NA,NA,"Man verrät nicht den Feinden sein Geheimnis.","Ein Geschenk ist nicht zu überprüfen.","eine hübsche Frau ist schnell vergeben.","Kein Frieden ohne Krieg","etwas Wertloses machen","etwas Wertloses machen","-",NA,"über ein auffälliges Merkmales verfügen","fest schlafen",NA,"keine Ahnung","keine Ahunug","keine Ahnung","keine Ahnung","jemanden hinters Licht führen",NA,NA,"ein armes Schwein sein/leeres Stroh dreschen",NA,NA,NA,NA,NA,NA
2023-07-23 19:41:47,"männlich","25-34 Jahre","Promotion","Muttersprache","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","unbekannt","unbekannt","unbekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer",NA,NA,NA,NA,NA,NA,"Kirchenmaus","Elefanten machen","Streuen",NA,NA,NA,NA,NA,NA,"Geschenke nimmt man auch dann gerne an, wenn sie Makel haben",NA,NA,NA,"Eine Anstrengung ist angesichts der Ignoranz oder Achtlosigkeit der/des Gegenüber(s) verschwendete Mühe",NA,NA,"Ich kenne: wie ein bunter Hund",NA,NA,NA,NA,NA,"Sich in die Nesseln setzen",NA,NA,NA,"Der frühe Vogel fängt den Wurm",NA,NA,NA,NA,NA,NA
2023-06-22 23:09:02,"männlich","25-34 Jahre","Master-Abschluss","Muttersprache","sehr unbekannt","sehr unbekannt","unbekannt","unbekannt","unbekannt","unbekannt","sehr gut bekannt","unbekannt","gut bekannt","sehr gutt bekannt","gut bekannt","sehr gut bekannt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-02 13:36:48,"weiblich","25-34 Jahre","Berufsausbildung","Muttersprache","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer","weiss ich nicht","kenne ich nicht","keinen Staub","Rosen","aus dem Walde","bringen","Kirchenmaus","Elefanten machen","streuen","das weiss ich nicht","kenne ich nicht",NA,NA,NA,"Am Anfang eines neuen Projekts soll man vorsichtig sein, um das Geheimnis nicht zu verraten.",NA,"Keine wertvolle Sache ist vom Boden aufzuheben.","Um ein Glück zu haben, muss man Schwierigkeiten überwinden.","eine Tautologie machen","-","einer Sache nicht aufmerksam folgen",NA,"sehr bekannt sein","lang schlafen",NA,"Lieber den Spatz in der als einen Strauß auf dem Dach.","keine Variante kenne ich nicht","Ein fauler Apfel steckt hundert gesude an.","kenne ich nicht","weiss nicht",NA,NA,"eine weiche Birne haben & Der Apfel fällt nicht weit vom Stamm.",NA,NA,NA,NA,NA,NA
2023-07-17 17:44:02,"weiblich","18-24 Jahre","Abitur/Matura","Muttersprache","sehr gut bekannt","unbekannt","gut bekannt","nicht gut bekannt","unbekannt","unbekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","keinen Sommer",NA,NA,NA,NA,NA,NA,"Kirchenmaus","Elefanten machen",NA,"einheimsen","gehen",NA,NA,NA,"kenne ich nicht","Man soll Geschenke nicht hinterfragen, sondern einfach annehmen","kenne ich nicht",NA,NA,"etwas Gutes verschwenden","kenne ich nicht",NA,"auffällig sein",NA,NA,NA,NA,NA,NA,"jemanden hinters Licht führen",NA,NA,"Einem geschenkten Gaul schaut man nicht ins Maul. / Der frühe Vogel fängt den Wurm.",NA,NA,NA,NA,NA,NA
2024-03-25 14:09:43,"männlich","65 und älter","Habilitation","Muttersprache","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Frühling","unbekannt","der Mäuse Tod","keine Ahnung","Rosen","aus dem Walde","bringen","keine Ahnung","Elefanten machen","streuen","keine Ahnung","gehen",NA,NA,NA,"Beim Aufstellen eines Projekts muss man geheim halten.","Ein Geschenk soll man nicht kritisieren.","Das Schöne ist leicht vergeben.","Jede gute Sache eine Kehrseite.","einen Unwert machen","eine Belanglosigkeit vornehmen","bei einer Sache nicht gut konzentriert sein",NA,"sehr gut bekannt sein","tief und frst schlafen","-","Besser ein Spatz in der Hand als eine Taube auf dem Dach.","Ein Esel schilt den anderen Sackträger.","-","-","jemanden hinters Licht führen",NA,NA,"einen Kater haben / jemandem einen Bären aufbinden",NA,NA,NA,NA,NA,NA
